,Name,Year,Rating,Votes
0,Mean Girls,2004,7.0,288964.0
1,Harry Potter and the Sorcerer's Stone,2001,7.6,538933.0
2,Spider-Man 3,2007,6.2,442494.0
3,The Dark Knight,2008,9.0,1972745.0
4,Harry Potter and the Goblet of Fire,2005,7.7,461929.0
5,Venom,2005,4.7,8895.0
6,Inglourious Basterds,2009,8.3,1067897.0
7,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1443303.0
8,Spider-Man,2002,7.3,617830.0
9,Halloween,2007,6.1,97928.0
10,Superbad,2007,7.6,469361.0
11,Hellboy,2004,6.9,275768.0
12,The Room,2003,3.6,66758.0
13,Gladiator,2000,8.5,1157820.0
14,American Psycho,2000,7.6,414408.0
15,Watchmen,2009,7.6,439234.0
16,Twilight,2008,5.2,380899.0
17,Donnie Darko,2001,8.1,676497.0
18,The Departed,2006,8.5,1030321.0
19,No Country for Old Men,2007,8.1,733427.0
20,Role Models,2008,6.9,207897.0
21,Iron Man,2008,7.9,813354.0
22,The Lord of the Rings: The Return of the King,2003,8.9,1426477.0
23,The Notebook,2004,7.9,455379.0
24,Avatar,2009,7.8,1004410.0
25,The Prestige,2006,8.5,1018372.0
26,Harry Potter and the Chamber of Secrets,2002,7.4,465708.0
27,Bronson,2008,7.1,105507.0
28,Hellboy II: The Golden Army,2008,7.0,232284.0
29,The Incredibles,2004,8.0,568232.0
30,Requiem for a Dream,2000,8.3,674413.0
31,300,2006,7.7,673417.0
32,Harry Potter and the Prisoner of Azkaban,2004,7.9,461466.0
33,Mamma Mia!,2008,6.4,179817.0
34,Batman Begins,2005,8.3,1147153.0
35,The Hangover,2009,7.7,649250.0
36,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,934766.0
37,Harry Potter and the Order of the Phoenix,2007,7.5,427809.0
38,Zombieland,2009,7.7,441598.0
39,Charlie and the Chocolate Factory,2005,6.7,372885.0
40,Mulholland Dr.,2001,8.0,280532.0
41,Van Helsing,2004,6.1,222497.0
42,Coraline,2009,7.7,172393.0
43,Troy,2004,7.2,435847.0
44,The Hitchhiker's Guide to the Galaxy,2005,6.8,173214.0
45,In Bruges,2008,7.9,350750.0
46,Stardust,2007,7.7,233436.0
47,Sherlock Holmes,2009,7.6,533633.0
48,Sin City,2005,8.0,705029.0
49,Eternal Sunshine of the Spotless Mind,2004,8.3,790776.0
50,Monster House,2006,6.6,85409.0
51,Hot Fuzz,2007,7.9,409629.0
52,Irréversible,2002,7.4,101563.0
53,Harry Potter and the Half-Blood Prince,2009,7.6,392918.0
54,A Beautiful Mind,2001,8.2,738017.0
55,Memento,2000,8.5,993605.0
56,Johnny English,2003,6.2,128531.0
57,The School of Rock,2003,7.1,235763.0
58,Ratatouille,2007,8.0,550378.0
59,Love Actually,2003,7.6,365985.0
60,The Girl Next Door,2004,6.7,186261.0
61,Malèna,2000,7.5,76683.0
62,Catch Me If You Can,2002,8.1,677597.0
63,Pearl Harbor,2001,6.1,285692.0
64,V for Vendetta,2005,8.2,921382.0
65,X-Men,2000,7.4,517451.0
66,The Beach,2000,6.6,201616.0
67,Pride & Prejudice,2005,7.8,222234.0
